VOTER NAME
Tennell Atkins
the  final   20...
Scott Griggs
Scott  Griggs
Sandy Greyson
Michael S. Rawlings
the final 2018 A...
Kevin Felder
Adam Medrano
null
the   final  2...
011018__42
"Casey Thomas, II"
Mark  Clayton
"Casey  Thomas, II"
Sandy  Greyson
Mark Clayton
Jennifer S.  Gates
Tiffinni A. Young
the  final  201...
B. Adam  McGough
Omar Narvaez
Philip T. Kingston
Rickey D. Callahan
Dwaine R. Caraway
Philip T.  Kingston
Jennifer S. Gates
Lee M. Kleinman
Monica R. Alonzo
the   final  2...
Rickey D.  Callahan
Carolyn King Arnold
the  final   20...
Erik Wilson
the  final  201...
Lee Kleinman
